VMXC,VMX4,VMXM,VMXF,trial,RMSE_CH4
1.25,2.492821399,0.993844504,1.25,107,6.07
1.036420799,2.911139267,0.399268748,0.0125,108,5.0437
0.458326861,3.75,0.808563803,1.25,109,6.1028
0.974382352,3.226390075,0.493476044,0.0125,110,5.0437
0.508917665,3.75,0.713842032,0.620808641,111,5.1566
1.032278582,2.855797833,0.429984666,1.25,112,6.1477
1.093015507,0.0375,0.0125,1.223163485,113,6.2093
0.188789755,0.0375,0.072073127,0.655266844,114,5.4413
1.144346567,1.045201719,0.077647366,0.210014624,115,4.7395
0.422661364,3.75,0.983473171,0.629258946,116,5.173
1.205821853,0.837589944,0.015225975,1.25,117,6.6358
0.647163666,0.0375,0.357209724,1.25,118,6.1989
0.264160965,2.38803287,0.315478422,0.056018852,119,4.9599
0.116958733,0.383128216,0.220961888,0.202035467,120,4.7252
0.43519487,3.311738443,0.970807129,0.577377687,121,5.0694
0.220447757,2.422268747,0.346072672,0.674311564,122,5.2657
0.334580305,2.364262711,0.307789988,0.900336613,123,5.6861
0.532248086,3.470405769,0.841276771,0.760392021,124,5.3993
0.168361013,2.457920014,0.335640415,0.0125,125,5.0437
0.27274185,2.450203874,0.364921835,0.03562359,126,5.0091
0.233733184,2.413977623,0.354696728,0.412642916,127,4.8237
0.037611472,0.375647213,0.301415655,0.421342232,128,4.8363
0.23786326,0.237973903,0.114512962,0.451606162,129,4.8439
0.196959913,0.250976196,0.091651936,0.158126419,130,4.7672
0.155879648,2.509746358,0.359410823,0.0125,131,5.0435
0.228325082,2.503857405,0.366312135,0.579873206,132,5.0768
0.185963814,2.611993159,0.391683591,0.319692058,133,4.6165
0.3029837,3.440394336,0.279212268,0.0125,134,5.0436
1.228634856,2.19419175,0.572852613,0.302640217,135,NA
0.197881494,3.396810825,0.277218825,0.0125,136,5.0436
0.315041045,2.564965266,0.38193031,0.197868104,137,4.7253
0.303745408,2.649223615,0.358775396,0.0125,138,5.0435
0.253309216,2.575405562,0.350066389,0.356517329,139,4.76
0.103545557,1.220798017,0.362911983,1.123371735,140,6.0491
0.393446689,1.344977246,0.979074954,0.287580535,141,4.6986
0.259210327,0.770435835,0.347202656,0.442035975,142,4.8481
0.371836482,3.594391885,0.289508462,0.0125,143,5.0437
0.378561346,2.063631068,0.349970033,0.0125,144,5.0434
1.031975673,2.214220852,0.408324018,0.620646825,145,5.1594
0.124615094,2.949170824,0.345838648,0.136361738,146,4.7563
